metric_schema_version,metric_description_id,metric_key,section,metric_label,section_readable_ja,metric_readable_ja,metric_category,artifact,phase,action,event,stat,unit,formula
2026-05-19,cycle.max_value.md_010e84b0e731c7b2,auto_3991befa_normal_max_cycle_scc_size,Traditional DUC progress-free cycle 統計,[2. Meta] Meta Environment (PEAK) / updatePhase=PRE / progress-free SCC / normal max cycle SCC size,Traditional DUC: 更新が進まない通常遷移サイクル,Traditional DUC: 安全性評価用合成環境 / hotSwapIn前 / 最大値,サイクル,Traditional DUC: 安全性評価用合成環境,hotSwapIn前,,,最大値,states,
2026-05-19,cycle.max_value.md_02d11becde169c95,auto_cf40cd7f_normal_max_cycle_scc_size,Traditional DUC progress-free cycle 統計,[3. Pruned] Safety Env (Before DontDoTwice) / updatePhase=111 / progress-free SCC / normal max cycle SCC size,Traditional DUC: 更新が進まない通常遷移サイクル,Traditional DUC: 安全性違反除去後 / hotSwapIn後、stopOldSpec・reconfigure・startNewSpec全て実行済み / 最大値,サイクル,Traditional DUC: 安全性違反除去後,hotSwapIn後、stopOldSpec・reconfigure・startNewSpec全て実行済み,,,最大値,states,
2026-05-19,cycle.max_value.md_0339f161ee361715,auto_d0faa27_controllable_max_cycle_scc_size,Traditional DUC progress-free cycle 統計,[2. Meta] Meta Environment (PEAK) / updatePhase=000 / progress-free SCC / controllable-only max cycle SCC size,Traditional DUC: 更新が進まない通常遷移サイクル,Traditional DUC: 安全性評価用合成環境 / hotSwapIn後、stopOldSpec・reconfigure・startNewSpecは未実行 / 最大値,サイクル,Traditional DUC: 安全性評価用合成環境,hotSwapIn後、stopOldSpec・reconfigure・startNewSpecは未実行,,,最大値,states,
2026-05-19,cycle.max_value.md_040f320dd7fe834f,auto_eb3ae4a6_controllable_max_cycle_scc_size,Traditional DUC progress-free cycle 統計,[1. E_u] (Old Controller || Mapping Environment) / updatePhase=001 / progress-free SCC / controllable-only max cycle SCC size,Traditional DUC: 更新が進まない通常遷移サイクル,Traditional DUC: 更新用環境 / hotSwapIn後、startNewSpec実行済み / 最大値,サイクル,Traditional DUC: 更新用環境,hotSwapIn後、startNewSpec実行済み,,,最大値,states,
2026-05-19,cycle.max_value.md_04bf470785788def,auto_af594305_controllable_max_cycle_scc_size,Traditional DUC progress-free cycle 統計,[1. E_u] (Old Controller || Mapping Environment) / updatePhase=110 / progress-free SCC / controllable-only max cycle SCC size,Traditional DUC: 更新が進まない通常遷移サイクル,Traditional DUC: 更新用環境 / hotSwapIn後、stopOldSpec・reconfigure実行済み / 最大値,サイクル,Traditional DUC: 更新用環境,hotSwapIn後、stopOldSpec・reconfigure実行済み,,,最大値,states,
2026-05-19,cycle.max_value.md_0b2d5cff761ae2ea,auto_7c3c8467_normal_max_cycle_scc_size,Output Update Controller progress-free cycle 統計,Output Update Controller / updatePhase=101 / progress-free SCC / normal max cycle SCC size,出力UC: 更新が進まない通常遷移サイクル,出力Update Controller / hotSwapIn後、stopOldSpec・startNewSpec実行済み / 最大値,サイクル,出力Update Controller,hotSwapIn後、stopOldSpec・startNewSpec実行済み,,,最大値,states,
2026-05-19,cycle.max_value.md_0d7d4e2bd173d258,auto_988e7c41_normal_max_cycle_scc_size,Traditional DUC progress-free cycle 統計,[4. Final] Safety Environment / updatePhase=000 / progress-free SCC / normal max cycle SCC size,Traditional DUC: 更新が進まない通常遷移サイクル,Traditional DUC: 最終コントローラ合成入力 / hotSwapIn後、stopOldSpec・reconfigure・startNewSpecは未実行 / 最大値,サイクル,Traditional DUC: 最終コントローラ合成入力,hotSwapIn後、stopOldSpec・reconfigure・startNewSpecは未実行,,,最大値,states,
2026-05-19,cycle.max_value.md_0f05d2d9beb141f3,auto_71c09f45_controllable_max_cycle_scc_size,Traditional DUC progress-free cycle 統計,[1. E_u] (Old Controller || Mapping Environment) / updatePhase=011 / progress-free SCC / controllable-only max cycle SCC size,Traditional DUC: 更新が進まない通常遷移サイクル,Traditional DUC: 更新用環境 / hotSwapIn後、reconfigure・startNewSpec実行済み / 最大値,サイクル,Traditional DUC: 更新用環境,hotSwapIn後、reconfigure・startNewSpec実行済み,,,最大値,states,
2026-05-19,cycle.max_value.md_122e9dece72a1f79,auto_19a89fa8_controllable_max_cycle_scc_size,Traditional DUC progress-free cycle 統計,[2. Meta] Meta Environment (PEAK) / updatePhase=001 / progress-free SCC / controllable-only max cycle SCC size,Traditional DUC: 更新が進まない通常遷移サイクル,Traditional DUC: 安全性評価用合成環境 / hotSwapIn後、startNewSpec実行済み / 最大値,サイクル,Traditional DUC: 安全性評価用合成環境,hotSwapIn後、startNewSpec実行済み,,,最大値,states,
2026-05-19,cycle.max_value.md_213bdf74e5706d9c,auto_7db339e5_normal_max_cycle_scc_size,Traditional DUC progress-free cycle 統計,[2. Meta] Meta Environment (PEAK) / updatePhase=POST / progress-free SCC / normal max cycle SCC size,Traditional DUC: 更新が進まない通常遷移サイクル,Traditional DUC: 安全性評価用合成環境 / hotSwapOut後 / 最大値,サイクル,Traditional DUC: 安全性評価用合成環境,hotSwapOut後,,,最大値,states,
